topic,llm_answer,population_answer,response,label,llm_support_used,human_support_used,LLM_outsourcing_overridden,human_outsourcing_overridden,ai_orch_agreement,human_orch_agreement,self_orch_agreement,recommendation,recommendation_lists,incorrect_answers_by_category
elementary_mathematics,D,D,C,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""4/6""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""elementary_mathematics"":true}"
college_mathematics,C,B,B,B,True,False,True,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4/6""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""elementary_mathematics"":true,""college_mathematics"":false}"
high_school_mathematics,B,D,B,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""4/6""],""high_school_mathematics"":[""27/50"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""elementary_mathematics"":true,""college_mathematics"":false,""high_school_mathematics"":true}"
elementary_mathematics,B,A,A,A,False,True,,False,,True,,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""41/51"",""31/50"",""4/6""],""high_school_mathematics"":[""27/50"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":true}"
elementary_mathematics,B,B,B,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""4/6""],""high_school_mathematics"":[""27/50"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":true}"
high_school_mathematics,B,B,B,B,False,True,,False,,True,,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""4/6""],""high_school_mathematics"":[""28/51"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":false}"
elementary_mathematics,A,A,A,A,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""4/6""],""high_school_mathematics"":[""28/51"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":false}"
elementary_mathematics,B,B,B,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""44/54"",""31/50"",""4/6""],""high_school_mathematics"":[""28/51"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":false}"
college_mathematics,B,C,B,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""44/54"",""31/50"",""4/6""],""high_school_mathematics"":[""28/51"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""28/52"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":false}"
high_school_mathematics,C,A,A,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""44/54"",""31/50"",""4/6""],""high_school_mathematics"":[""28/52"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""28/52"",""2 / 5""]}","{""elementary_mathematics"":false,""college_mathematics"":false,""high_school_mathematics"":false}"
