topic,llm_answer,population_answer,response,label,llm_support_used,human_support_used,LLM_outsourcing_overridden,human_outsourcing_overridden,ai_orch_agreement,human_orch_agreement,self_orch_agreement,recommendation,recommendation_lists,incorrect_answers_by_category
high_school_mathematics,A,B,D,B,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""27/50"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":true}"
college_mathematics,D,B,D,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""27/50"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""high_school_mathematics"":true,""college_mathematics"":false}"
high_school_mathematics,C,A,A,A,False,True,,False,,True,,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""28/51"",""22/50"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,B,B,B,True,False,False,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""28/51"",""23/51"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,D,D,D,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""5/6""],""high_school_mathematics"":[""28/51"",""23/51"",""3/6""],""college_mathematics"":[""22/50"",""27/51"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,D,A,D,A,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""5/6""],""high_school_mathematics"":[""28/51"",""23/51"",""3/6""],""college_mathematics"":[""22/50"",""27/52"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,A,C,A,A,True,False,False,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""5/6""],""high_school_mathematics"":[""28/51"",""24/52"",""3/6""],""college_mathematics"":[""22/50"",""27/52"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,B,A,B,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""5/6""],""high_school_mathematics"":[""28/51"",""24/52"",""3/6""],""college_mathematics"":[""22/50"",""27/53"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,A,A,A,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""6/7""],""high_school_mathematics"":[""28/51"",""24/52"",""3/6""],""college_mathematics"":[""22/50"",""27/53"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,A,B,A,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""6/7""],""high_school_mathematics"":[""28/51"",""24/52"",""3/6""],""college_mathematics"":[""22/50"",""27/54"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,B,B,B,D,False,True,,False,False,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""6/7""],""high_school_mathematics"":[""28/51"",""24/52"",""3/6""],""college_mathematics"":[""22/51"",""27/54"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,B,B,B,A,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""6/7""],""high_school_mathematics"":[""28/51"",""24/52"",""3/6""],""college_mathematics"":[""22/51"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,C,A,A,B,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/50"",""6/7""],""high_school_mathematics"":[""28/51"",""24/52"",""3/7""],""college_mathematics"":[""22/51"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":true,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,B,A,B,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/50"",""6/8""],""high_school_mathematics"":[""28/51"",""24/52"",""3/7""],""college_mathematics"":[""22/51"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":true,""college_mathematics"":false,""elementary_mathematics"":true}"
elementary_mathematics,B,A,B,A,True,False,False,,,False,,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""6/8""],""high_school_mathematics"":[""28/51"",""24/52"",""3/7""],""college_mathematics"":[""22/51"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":true,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,D,B,B,C,False,True,,False,False,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""6/8""],""high_school_mathematics"":[""28/51"",""24/52"",""3/7""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":true,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,D,C,C,D,False,True,,False,,True,,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""6/8""],""high_school_mathematics"":[""28/52"",""24/52"",""3/7""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,D,D,D,D,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""7/9""],""high_school_mathematics"":[""28/52"",""24/52"",""3/7""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,D,D,D,D,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""8/10""],""high_school_mathematics"":[""28/52"",""24/52"",""3/7""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,B,B,B,B,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""9/11""],""high_school_mathematics"":[""28/52"",""24/52"",""3/7""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,A,B,B,B,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""9/11""],""high_school_mathematics"":[""28/52"",""24/52"",""4/8""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,C,B,B,C,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""9/11""],""high_school_mathematics"":[""28/53"",""24/52"",""4/8""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,C,B,C,C,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""9/11""],""high_school_mathematics"":[""28/53"",""24/52"",""5/9""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,A,C,C,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""10/12""],""high_school_mathematics"":[""28/53"",""24/52"",""5/9""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,B,B,B,B,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""11/13""],""high_school_mathematics"":[""28/53"",""24/52"",""5/9""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,C,C,C,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""28/53"",""24/52"",""5/9""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,C,B,C,A,True,False,False,,,,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""28/53"",""24/53"",""5/9""],""college_mathematics"":[""22/52"",""27/55"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,B,A,B,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""28/53"",""24/53"",""5/9""],""college_mathematics"":[""22/52"",""28/56"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,D,D,A,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""28/53"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""28/56"",""2 / 5""]}","{""high_school_mathematics"":true,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,B,A,A,A,False,True,,False,,True,,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/54"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""28/56"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,D,C,D,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/54"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""29/57"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,C,D,C,C,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/54"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""30/58"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,B,C,B,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/54"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/59"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,B,C,B,A,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/54"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/60"",""2 / 5""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,B,D,A,B,False,False,,,False,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/54"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/60"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":true,""elementary_mathematics"":false}"
college_mathematics,C,B,C,D,True,False,False,,True,,,You were wrong by yourself on college_mathematics last time. You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/54"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/61"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,C,D,D,A,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""12/14""],""high_school_mathematics"":[""29/55"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/61"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,A,A,A,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""13/15""],""high_school_mathematics"":[""29/55"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/61"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,B,C,C,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""14/16""],""high_school_mathematics"":[""29/55"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/61"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,A,A,A,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""15/17""],""high_school_mathematics"":[""29/55"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/61"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,C,C,C,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""29/55"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/61"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,D,A,A,A,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""30/56"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/61"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,C,B,C,A,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""30/56"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""31/62"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,C,C,C,C,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""30/56"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""32/63"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
college_mathematics,D,B,D,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""30/56"",""24/53"",""5/10""],""college_mathematics"":[""22/52"",""33/64"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,A,D,D,D,False,False,,,,False,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""30/56"",""24/53"",""6/11""],""college_mathematics"":[""22/52"",""33/64"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,B,D,B,D,False,True,,True,,,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""30/57"",""24/53"",""6/11""],""college_mathematics"":[""22/52"",""33/64"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
high_school_mathematics,C,B,C,C,True,False,False,,,,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""16/18""],""high_school_mathematics"":[""30/57"",""25/54"",""6/11""],""college_mathematics"":[""22/52"",""33/64"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,C,A,A,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""17/19""],""high_school_mathematics"":[""30/57"",""25/54"",""6/11""],""college_mathematics"":[""22/52"",""33/64"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
elementary_mathematics,C,C,C,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""40/50"",""31/51"",""18/20""],""high_school_mathematics"":[""30/57"",""25/54"",""6/11""],""college_mathematics"":[""22/52"",""33/64"",""2/6""]}","{""high_school_mathematics"":false,""college_mathematics"":false,""elementary_mathematics"":false}"
