"trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study_id","session_id","condition","rt","url","view_history","response","question_order","value","question","options","llm_answer","population_answer","task","subj_id","label","example_id","variant","main_variant","topic","prompt","llm_support_used","llm_support_clicks","0","btn_clicked","score","timeToClick","modelPred","humanCorrect","modelCorrect","interfaceType","modelPredDist","human_support_used","human_support_clicks","recommendation_lists","incorrect_answers_by_category","recommendation","LLM_outsourcing_overridden","human_outsourcing_overridden","ai_orch_agreement","human_orch_agreement","self_orch_agreement","stimulus"
"pavlovia","0","4111","0.0-0.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","213906","0.0-1.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","208191.30000000075","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","601999","0.0-2.0-0.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","388092.3999999985","","[{""page_index"":0,""viewing_time"":93965.29999999702},{""page_index"":1,""viewing_time"":53295.60000000149},{""page_index"":2,""viewing_time"":55759.800000000745},{""page_index"":3,""viewing_time"":54855.800000000745},{""page_index"":4,""viewing_time"":24423.699999999255},{""page_index"":5,""viewing_time"":44312},{""page_index"":6,""viewing_time"":38607.89999999851},{""page_index"":7,""viewing_time"":22871.900000002235}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","3","708072","0.0-2.0-1.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","106070.40000000224","","","{""Q0"":""The answer to a mutliple choice question."",""Q1"":""Clicking on a radio button.""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","756495","0.0-3.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","48421.199999999255","","[{""page_index"":0,""viewing_time"":48420.89999999851}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","5","756496","0.0-4.0-0.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","","","","","","defer","In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is","[""1/4"",""1/3"",""1/2"",""2/3""]","C","C","modiste","","D","223","algLinUCB_0.9","diff-topics","college_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is
(A) '1/4', (B) '1/3', (C) '1/2', (D) '2/3'
Answer:","true","2","","","","","","","","","","","","","","","","","","","",""
"survey-html-form","6","926503","0.0-4.0-1.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","170004.6000000015","","","{""mcAnswer"":""C""}","","","In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is","[""1/4"",""1/3"",""1/2"",""2/3""]","C","C","modiste","","D","223","algLinUCB_0.9","diff-topics","college_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is
(A) '1/4', (B) '1/3', (C) '1/2', (D) '2/3'
Answer:","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","true","2","","false","97","-1","C","false","false","defer","[]","false","0","{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""27/50"",""22/50"",""3 / 5""],""college_mathematics"":[""22/50"",""26/51"",""2 / 5""]}","{""college_mathematics"":false}","You should outsource this problem to the AI agent","false","null","true","null","null",""
"image-keyboard-response","7","928019","0.0-4.0-2.0","eeabuqfya43up23","65957cc2d41780a47a18bd91","67b62c430b9240ccd8986e70","67b634d847689537fe7571c6","3","null","","","null","","","In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is","[""1/4"",""1/3"",""1/2"",""2/3""]","C","C","modiste","","D","223","algLinUCB_0.9","diff-topics","college_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is
(A) '1/4', (B) '1/3', (C) '1/2', (D) '2/3'
Answer:","","","","","","","","","","","","","","","","","","","","","","feedback_imgs/Incorrect.png"
