"trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study_id","session_id","condition","rt","url","view_history","response","question_order","value","question","options","llm_answer","population_answer","task","subj_id","label","example_id","variant","main_variant","topic","prompt","llm_support_used","llm_support_clicks","0","btn_clicked","score","timeToClick","modelPred","humanCorrect","modelCorrect","interfaceType","modelPredDist","human_support_used","human_support_clicks","recommendation_lists","incorrect_answers_by_category","recommendation","LLM_outsourcing_overridden","human_outsourcing_overridden","ai_orch_agreement","human_orch_agreement","self_orch_agreement","stimulus"
"pavlovia","0","871","0.0-0.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","5933","0.0-1.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","4973.299999952316","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","74917","0.0-2.0-0.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","68983.20000004768","","[{""page_index"":0,""viewing_time"":6325.5},{""page_index"":1,""viewing_time"":21354.10000014305},{""page_index"":2,""viewing_time"":4423},{""page_index"":3,""viewing_time"":6256},{""page_index"":4,""viewing_time"":13799.799999952316},{""page_index"":5,""viewing_time"":9376.899999856949},{""page_index"":6,""viewing_time"":2536.100000143051},{""page_index"":7,""viewing_time"":4911.399999856949}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","3","86136","0.0-2.0-1.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","11218","","","{""Q0"":""The answer to a mutliple choice question."",""Q1"":""Clicking on a radio button.""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","101049","0.0-3.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","14912.099999904633","","[{""page_index"":0,""viewing_time"":14911.700000047684}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","5","101050","0.0-4.0-0.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","","","","","","defer","Given that n > 1, what is the smallest positive integer n whose positive divisors have a product of n^6?","[""30"",""64"",""2048"",""60""]","D","D","modiste","","D","16","algLinUCB_0.9","diff-topics","high_school_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
Given that n > 1, what is the smallest positive integer n whose positive divisors have a product of n^6?
(A) '30', (B) '64', (C) '2048', (D) '60'
Answer:","true","2","","","","","","","","","","","","","","","","","","","",""
"survey-html-form","6","129198","0.0-4.0-1.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","28145.699999809265","","","{""mcAnswer"":""D""}","","","Given that n > 1, what is the smallest positive integer n whose positive divisors have a product of n^6?","[""30"",""64"",""2048"",""60""]","D","D","modiste","","D","16","algLinUCB_0.9","diff-topics","high_school_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
Given that n > 1, what is the smallest positive integer n whose positive divisors have a product of n^6?
(A) '30', (B) '64', (C) '2048', (D) '60'
Answer:","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","true","2","","false","107","-1","D","true","true","defer","[]","false","0","{""elementary_mathematics"":[""40/50"",""31/50"",""4 / 5""],""high_school_mathematics"":[""27/50"",""23/51"",""3 / 5""],""college_mathematics"":[""22/50"",""26/50"",""2 / 5""]}","{""high_school_mathematics"":false}","You should attempt this problem by yourself","false","null","null","null","false",""
"image-keyboard-response","7","130702","0.0-4.0-2.0","o46xql1fy99pkn7","60fdce771ceebe2ff0194869","67b62c430b9240ccd8986e70","67b635b0e3f3c5707d18aec3","0","null","","","null","","","Given that n > 1, what is the smallest positive integer n whose positive divisors have a product of n^6?","[""30"",""64"",""2048"",""60""]","D","D","modiste","","D","16","algLinUCB_0.9","diff-topics","high_school_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
Given that n > 1, what is the smallest positive integer n whose positive divisors have a product of n^6?
(A) '30', (B) '64', (C) '2048', (D) '60'
Answer:","","","","","","","","","","","","","","","","","","","","","","feedback_imgs/Correct.png"
