"trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study_id","session_id","condition","rt","url","view_history","response","question_order","value","question","options","llm_answer","population_answer","task","subj_id","label","example_id","variant","main_variant","topic","prompt","0","btn_clicked","score","timeToClick","modelPred","humanCorrect","modelCorrect","interfaceType","modelPredDist","human_support_used","human_support_clicks","llm_support_used","llm_support_clicks","recommendation_lists","incorrect_answers_by_category","recommendation","LLM_outsourcing_overridden","human_outsourcing_overridden","ai_orch_agreement","human_orch_agreement","self_orch_agreement","stimulus"
"pavlovia","0","2421","0.0-0.0","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","31923","0.0-1.0","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","29348.100000023842","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","126571","0.0-2.0-0.0","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","94646.89999997616","","[{""page_index"":0,""viewing_time"":15239.399999976158},{""page_index"":1,""viewing_time"":34199.19999998808},{""page_index"":2,""viewing_time"":4304},{""page_index"":3,""viewing_time"":12079.900000035763},{""page_index"":4,""viewing_time"":9624.199999988079},{""page_index"":5,""viewing_time"":11968.599999964237},{""page_index"":6,""viewing_time"":1119.300000011921},{""page_index"":7,""viewing_time"":6112.100000023842}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","3","150811","0.0-2.0-1.0","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","24239.19999998808","","","{""Q0"":""The answer to a mutliple choice question."",""Q1"":""Selecting from a dropdown menu.""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","189698","0.0-2.1-0.1","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","38886.5","","[{""page_index"":0,""viewing_time"":13966.300000011921},{""page_index"":1,""viewing_time"":4280.199999988079},{""page_index"":2,""viewing_time"":12960},{""page_index"":3,""viewing_time"":2576},{""page_index"":2,""viewing_time"":2887.899999976158},{""page_index"":3,""viewing_time"":184.10000002384186},{""page_index"":4,""viewing_time"":288},{""page_index"":5,""viewing_time"":543.8999999761581},{""page_index"":6,""viewing_time"":776.1000000238419},{""page_index"":7,""viewing_time"":423.89999997615814}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","5","198507","0.0-2.1-1.1","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","8807.800000011921","","","{""Q0"":""The most likely categories of an image."",""Q1"":""Clicking on a radio button.""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","6","242859","0.0-2.2-0.2","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","44351.200000047684","","[{""page_index"":0,""viewing_time"":2366.900000035763},{""page_index"":1,""viewing_time"":1711.8999999761581},{""page_index"":2,""viewing_time"":4008.100000023842},{""page_index"":3,""viewing_time"":18472},{""page_index"":2,""viewing_time"":8064.300000011921},{""page_index"":3,""viewing_time"":2591.599999964237},{""page_index"":4,""viewing_time"":1288.1000000238419},{""page_index"":5,""viewing_time"":2271.599999964237},{""page_index"":6,""viewing_time"":904},{""page_index"":7,""viewing_time"":2672.5}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","250787","0.0-2.2-1.2","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","7927.699999988079","","","{""Q0"":""The answer to a mutliple choice question."",""Q1"":""Clicking on a radio button.""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","8","273386","0.0-3.0","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","22598.900000035763","","[{""page_index"":0,""viewing_time"":22598.80000001192}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","9","273387","0.0-4.0-0.0","2vll9ku1bv0sco8","6669e7470edffb0d8da619c2","67b62c430b9240ccd8986e70","67b63828dd8c64fd5d745533","4","","","","","","defer","If A is the 2 by 2 matrix whose (i, j) entry is equal to i + j, and B is the 3 by 3 matrix whose (i, j) entry is equal to i + j, find the value of the sum detA + detB.","[""-2"",""-1"",""0"",""2""]","C","B","modiste","","B","290","algLinUCB_0.9","diff-topics","college_mathematics","The following are multiple choice questions about high_school_mathematics.
Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?
(A) $22, (B) $24, (C) $31, (D) $35
Answer: C
Solve for y. y – 2 + 3y = 10
(A) 2, (B) 3, (C) 4, (D) 5
Answer: B
Solve 3 over 2 * w = 66.
(A) 33, (B) 44, (C) 88, (D) 99
Answer: B
Write 5.875 as a mixed number or fraction in simplest form.
(A) 5 and 8 over 9, (B) 5 and 7 over 8, (C) 7 over 8, (D) 5 and 87 over 105
Answer: B
Solve the equation 124 = m + 34.
(A) 158, (B) 90, (C) 88, (D) 4,216
Answer: B
Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?
(A) p - 20, (B) 20 - 40p, (C) 20 - 0.40p, (D) 0.40p - 20
Answer: C
Please answer the following question with just the correct option (A, B, C, or D) without any explanation or additional text.
If A is the 2 by 2 matrix whose (i, j) entry is equal to i + j, and B is the 3 by 3 matrix whose (i, j) entry is equal to i + j, find the value of the sum detA + detB.
(A) '-2', (B) '-1', (C) '0', (D) '2'
Answer:","","","","","","","","","","","","","","","","","","","","","",""
