,emb1,emb2,id
0,-5.1457977,-18.693121,high_school_mathematics
1,13.450976,11.340546,high_school_mathematics
2,-0.9210455,21.009714,high_school_mathematics
3,-22.802727,12.826047,high_school_mathematics
4,5.281194,-19.552818,high_school_mathematics
5,8.518441,5.4033046,high_school_mathematics
6,18.945648,0.8012008,high_school_mathematics
7,-6.4691143,3.707771,high_school_mathematics
8,-0.75572187,-8.174222,high_school_mathematics
9,-11.187338,2.79929,high_school_mathematics
10,-6.9606276,-25.498707,high_school_mathematics
11,1.2369204,-10.597725,high_school_mathematics
12,-6.9832983,5.091523,high_school_mathematics
13,-13.724909,-13.168023,high_school_mathematics
14,16.57559,-23.440418,high_school_mathematics
15,-7.010498,1.1199627,high_school_mathematics
16,-5.4283376,0.67706335,high_school_mathematics
17,5.496265,19.575642,high_school_mathematics
18,3.242189,-19.624327,high_school_mathematics
19,0.10025909,5.0626855,high_school_mathematics
20,26.300226,6.180565,high_school_mathematics
21,-2.0668216,-3.2952745,high_school_mathematics
22,-3.6958277,5.992882,high_school_mathematics
23,-9.700058,15.81997,high_school_mathematics
24,-11.970996,3.9019477,high_school_mathematics
25,-13.726609,14.053264,high_school_mathematics
26,7.189391,13.12578,high_school_mathematics
27,10.282678,-26.82651,high_school_mathematics
28,12.930134,-18.578863,high_school_mathematics
29,19.959246,15.842165,high_school_mathematics
30,-21.6389,-3.1538422,high_school_mathematics
31,16.23243,3.0146089,high_school_mathematics
32,2.556985,1.7640849,high_school_mathematics
33,-19.353434,10.8882265,high_school_mathematics
34,-5.780713,23.547953,high_school_mathematics
35,-22.52439,-3.3925393,high_school_mathematics
36,26.369936,4.077112,high_school_mathematics
37,-3.0087724,0.71082664,high_school_mathematics
38,12.442675,24.2975,high_school_mathematics
39,-2.9757204,13.122421,high_school_mathematics
40,5.4118576,2.2943923,high_school_mathematics
41,-31.208181,2.534861,high_school_mathematics
42,12.858172,2.8845687,high_school_mathematics
43,-3.262297,0.3898158,high_school_mathematics
44,6.8067966,22.810234,high_school_mathematics
