topic,label,response
high_school_mathematics,B,B
elementary_mathematics,D,D
elementary_mathematics,C,C
elementary_mathematics,B,B
college_mathematics,B,B
elementary_mathematics,B,B
high_school_mathematics,C,A
high_school_mathematics,A,A
high_school_mathematics,A,C
high_school_mathematics,B,B
elementary_mathematics,A,A
college_mathematics,C,C
college_mathematics,C,D
elementary_mathematics,A,A
college_mathematics,C,C
college_mathematics,D,D
college_mathematics,A,C
elementary_mathematics,D,D
high_school_mathematics,B,A
elementary_mathematics,C,C
high_school_mathematics,A,A
college_mathematics,B,B
elementary_mathematics,B,B
elementary_mathematics,A,A
high_school_mathematics,D,D
college_mathematics,B,C
high_school_mathematics,C,C
college_mathematics,C,B
college_mathematics,C,C
college_mathematics,D,C
high_school_mathematics,C,B
college_mathematics,C,C
college_mathematics,C,C
elementary_mathematics,C,C
college_mathematics,B,C
elementary_mathematics,B,B
college_mathematics,D,C
college_mathematics,B,B
high_school_mathematics,D,D
college_mathematics,C,A
college_mathematics,A,A
high_school_mathematics,D,D
high_school_mathematics,D,D
high_school_mathematics,D,D
elementary_mathematics,A,A
college_mathematics,C,B
high_school_mathematics,C,A
elementary_mathematics,A,A
elementary_mathematics,C,C
elementary_mathematics,C,C
elementary_mathematics,D,D
college_mathematics,C,D
high_school_mathematics,B,B
elementary_mathematics,A,C
high_school_mathematics,B,B
high_school_mathematics,D,D
elementary_mathematics,C,C
high_school_mathematics,A,A
elementary_mathematics,B,B
high_school_mathematics,D,D
