topic,llm_answer,population_answer,response,label,llm_support_used,human_support_used,recommendation,recommendation_lists
elementary_mathematics,B,B,A,B,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3 / 5""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,D,C,D,C,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,D,D,D,False,True,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,C,C,C,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,C,D,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,C,C,C,False,True,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,B,B,B,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,D,D,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,A,A,B,False,True,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,B,B,B,D,False,True,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,C,C,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,A,A,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,B,B,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,C,C,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,B,B,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,A,C,C,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,B,C,C,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,A,A,A,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,D,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,A,A,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,A,C,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,A,A,A,C,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""4/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,D,D,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,D,A,A,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,B,C,C,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,A,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,A,B,B,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,C,C,C,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,A,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,C,C,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,A,C,C,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,A,B,B,D,False,True,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,A,C,C,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,C,C,B,C,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,D,D,False,True,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,C,C,C,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,D,C,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,D,A,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,B,B,B,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,B,C,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,A,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,D,D,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,B,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,A,A,A,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,D,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,C,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,A,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,B,B,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,B,B,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/8""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
