topic,response,label,llm_support_used,human_support_used,recommendation,recommendation_lists
elementary_mathematics,D,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3 / 5""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,A,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,A,C,False,True,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,C,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,B,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,B,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""7/8""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,B,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""8/9""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,B,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""9/10""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,A,A,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,A,C,False,True,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,B,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""5/8""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,A,C,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""5/9""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,C,False,True,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""5/9""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""5/9""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""5/9""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,D,A,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,C,False,True,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/11""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,C,C,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""11/12""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,A,True,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""11/12""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,B,B,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""12/13""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,B,False,True,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""12/13""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,A,False,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""12/13""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,C,C,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""13/14""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,A,A,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""14/15""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,D,D,True,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""14/15""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,B,B,True,False,You were wrong by yourself on college_mathematics last time. You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""14/15""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,B,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""14/15""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,D,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""15/16""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,C,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""15/16""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""15/16""],""high_school_mathematics"":[0.545,0.44,""5/10""],""college_mathematics"":[0.435,0.51,""2/6""]}"
high_school_mathematics,D,D,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""15/16""],""high_school_mathematics"":[0.545,0.44,""6/11""],""college_mathematics"":[0.435,0.51,""2/6""]}"
high_school_mathematics,C,C,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""15/16""],""high_school_mathematics"":[0.545,0.44,""7/12""],""college_mathematics"":[0.435,0.51,""2/6""]}"
high_school_mathematics,C,A,True,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""15/16""],""high_school_mathematics"":[0.545,0.44,""7/12""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,A,A,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""16/17""],""high_school_mathematics"":[0.545,0.44,""7/12""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,B,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""16/17""],""high_school_mathematics"":[0.545,0.44,""7/12""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,A,A,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""17/18""],""high_school_mathematics"":[0.545,0.44,""7/12""],""college_mathematics"":[0.435,0.51,""2/6""]}"
