topic,response,label,llm_support_used,human_support_used,recommendation,recommendation_lists
elementary_mathematics,C,C,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3 / 5""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,B,True,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3 / 5""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,D,B,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,A,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,False,True,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,D,False,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,D,D,True,False,You were wrong by yourself on college_mathematics last time. You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,C,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
college_mathematics,A,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
high_school_mathematics,B,B,False,True,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
elementary_mathematics,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
high_school_mathematics,A,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""5/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2/6""]}"
