topic,response,label,llm_support_used,human_support_used,recommendation,recommendation_lists
elementary_mathematics,A,A,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3 / 5""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,A,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,B,C,False,True,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""5/6""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
elementary_mathematics,D,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,A,True,False,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""3/6""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,C,C,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,B,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
high_school_mathematics,B,A,False,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
college_mathematics,C,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""6/7""],""high_school_mathematics"":[0.545,0.44,""4/7""],""college_mathematics"":[0.435,0.51,""2 / 5""]}"
